,PATIENT,encounter_count,enc_ambulatory,enc_emergency,enc_home,enc_hospice,enc_inpatient,enc_outpatient,enc_snf,enc_urgentcare,enc_virtual,enc_wellness,medication_count,bmi_mean,chol_mean,creat_mean,dbp_mean,egfr_mean,glucose_mean,hba1c_mean,hdl_mean,height_mean,hr_mean,ldl_mean,rr_mean,sbp_mean,weight_mean,bmi_last,chol_last,creat_last,dbp_last,egfr_last,glucose_last,hba1c_last,hdl_last,height_last,hr_last,ldl_last,rr_last,sbp_last,weight_last,MARITAL,RACE,ETHNICITY,GENDER,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,AGE,target,window
count,1968,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1916.0,1202.0,817.0,1961.0,417.0,817.0,759.0,1202.0,1960.0,1961.0,1202.0,1961.0,1961.0,1962.0,1916.0,1202.0,817.0,1961.0,417.0,817.0,759.0,1202.0,1960.0,1961.0,1202.0,1961.0,1961.0,1962.0,1291,1968,1968,1968,1968,1968,1968,1968.0,1968.0,1968
unique,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,2,1962,1858,1905,,,1
top,e3e20559-00f1-a5b1-0e26-4145235cccbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,white,nonhispanic,F,200.00,0.00,1861,,,D2_current
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,1633,1727,1014,3,111,5,,,1968
mean,,24.54319105691057,13.402439024390244,0.8475609756097561,0.19817073170731708,0.03861788617886179,0.25558943089430897,4.037601626016261,0.08079268292682927,0.9679878048780488,0.13922764227642276,4.57520325203252,20.415650406504064,26.108718481466255,186.4769025190584,1.4936200183782515,79.14097848575409,71.16897094349065,84.67482345757277,5.762909740480481,50.914731637598585,159.12599267002906,80.61053169620156,110.69469355713822,14.158738645890782,118.85347311461118,70.14686356728825,26.401617954070982,185.99858569051582,1.5346389228886168,78.96002039775624,69.77434052757795,84.9685434516524,5.742687747035573,51.06605657237937,162.08025510204084,80.20724120346762,110.61672212978368,14.021519632840388,118.55609382967873,72.15642201834864,,,,,,,,41.722750872272584,0.13465447154471544,
std,,43.08350346535308,37.77024479820405,1.737511659820932,1.9734786299100933,0.23330371974831837,1.644951685588599,5.999458435128301,0.28888401175806305,5.3228738368405715,1.054646104965544,2.147682914378035,69.2796180661653,4.968358323423068,41.359442294774226,0.8828081030980937,9.403720905639268,36.4863094970759,10.124438450901827,0.9893141010553126,9.294640513323728,27.783570736319966,6.844118886121275,42.214494310222115,1.1614042532791586,13.897795263542621,25.465943855466826,4.796125774636419,44.323712390731835,0.9787006933478809,10.157356979840289,39.14249103508665,13.636183194576958,1.0380980915848181,10.891570471424949,23.03763689192736,11.53213073872103,45.10118159302208,1.2311210818230889,14.754854090225512,23.511076561969443,,,,,,,,23.808009874435175,0.3414408932739612,
min,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.066666666666668,63.9,0.32,38.03488372093023,5.5,64.1,2.5,20.5,49.25,60.0,-12.6,12.0,66.86666666666666,2.8,13.2,63.9,0.2,31.0,4.1,64.0,2.4,20.5,50.8,60.0,-12.6,12.0,58.0,3.1,,,,,,,,0.7775496235455168,0.0,
25%,,11.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,23.41875,162.2,0.9333333333333332,73.0,44.01428571428572,79.47999999999999,5.966666666666666,49.3375,156.9,77.0,85.45,13.666666666666666,108.66666666666667,62.02321428571429,24.3,157.2,0.9,73.0,39.1,74.0,5.85,47.5,158.5,70.0,82.42500000000001,13.0,108.0,64.6,,,,,,,,22.522245037645447,0.0,
50%,,16.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,27.8,178.6,1.2,78.75,77.2,82.38333333333334,6.08,53.375,166.4,80.25,104.98571428571428,14.0,119.28571428571429,76.97999999999999,27.8,179.2,1.1,79.0,75.2,84.2,6.0,53.4,166.9,80.0,105.25,14.0,119.0,77.6,,,,,,,,40.375085557837096,0.0,
75%,,25.0,12.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,15.0,29.268749999999997,202.328125,1.7399999999999998,85.28571428571429,97.91999999999999,86.34444444444445,6.166666666666667,56.71071428571429,174.7,84.0,127.1,14.4,128.89473684210526,86.8,29.5,204.875,2.2,85.0,88.2,93.6,6.2,57.7,175.2,90.0,132.67499999999998,15.0,129.0,87.4,,,,,,,,59.45790554414785,0.0,
max,,645.0,636.0,33.0,31.0,5.0,48.0,49.0,2.0,81.0,34.0,14.0,1060.0,47.2,323.3,8.241071428571429,122.0,144.6,146.4,7.6,67.8,195.1,137.75,272.9,29.510526315789477,166.0,148.6,47.2,336.2,10.0,122.0,160.1,146.4,7.6,80.0,195.1,138.4,272.9,33.0,179.4,148.6,,,,,,,,111.6331279945243,1.0,
