,0
sbp_mean,0.035402298850574755
dbp_mean,0.021609195402298866
AGE,0.014712643678160942
enc_wellness,0.011954022988505786
hr_mean,0.010574712643678175
bmi_mean,0.008275862068965533
MARITAL,0.007356321839080482
hdl_last,0.006896551724137967
chol_mean,0.006896551724137945
enc_inpatient,0.006436781609195408
weight_mean,0.005977011494252893
rr_mean,0.005977011494252893
height_mean,0.005977011494252893
medication_count,0.005977011494252893
height_last,0.005517241379310378
hba1c_last,0.005517241379310356
bmi_last,0.005057471264367841
creat_mean,0.0050574712643678185
weight_last,0.0050574712643678185
enc_snf,0.004597701149425304
egfr_last,0.004597701149425282
ldl_mean,0.003678160919540252
encounter_count,0.003218390804597715
enc_emergency,0.003218390804597715
enc_outpatient,0.003218390804597715
enc_urgentcare,0.003218390804597715
hr_last,0.003218390804597715
egfr_mean,0.0027586206896552
enc_virtual,0.002298850574712663
INCOME,0.0009195402298850741
enc_ambulatory,0.0009195402298850741
HEALTHCARE_COVERAGE,0.0009195402298850741
rr_last,0.00045977011494255924
enc_home,0.00045977011494253707
creat_last,0.00045977011494253707
chol_last,0.00045977011494253707
sbp_last,2.2204460492503132e-17
HEALTHCARE_EXPENSES,0.0
hdl_mean,-0.00045977011494249267
ldl_last,-0.0013793103448275668
glucose_last,-0.0013793103448275668
GENDER,-0.0013793103448275668
ETHNICITY,-0.0018390804597700594
hba1c_mean,-0.0018390804597700594
glucose_mean,-0.0018390804597700817
RACE,-0.0027586206896551336
dbp_last,-0.0032183908045976704
enc_hospice,-0.007356321839080438
